X,Y,Z,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,xcoord,ycoord
-102.3261643,31.88798523,0,myChevrolet WiFi,"Network ID: 02:24:A5:2B:47:BD
Encryption: WPA2
Time: 2024-11-16T20:13:01.000-08:00
Signal: -97.0
Accuracy: 3.0
Type: WIFI",,,,,-1,0,-1,,,-102.3261643,31.88798523
-102.3221359,31.86844826,0,myChevrolet 4265,"Network ID: 02:24:A5:40:18:7A
Encryption: WPA2
Time: 2024-11-16T21:59:59.000-08:00
Signal: -89.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3221359,31.86844826
-102.3268967,31.8883419,0,DIRECT-3a-HP M234 LaserJet,"Network ID: 02:41:0E:C2:2F:3A
Encryption: WPA2
Time: 2024-11-16T20:09:39.000-08:00
Signal: -87.0
Accuracy: 1.8
Type: WIFI",,,,,-1,0,-1,,,-102.3268967,31.8883419
-102.326355,31.88820839,0,myChevrolet WiFi,"Network ID: 02:49:A5:2B:47:BD
Encryption: WPA2
Time: 2024-11-16T20:12:56.000-08:00
Signal: -87.0
Accuracy: 3.0
Type: WIFI",,,,,-1,0,-1,,,-102.326355,31.88820839
-102.3140259,31.87282944,0,Hotspot909E,"Network ID: 02:54:AF:D0:90:9E
Encryption: WPA2
Time: 2024-11-16T21:49:15.000-08:00
Signal: -79.0
Accuracy: 2.4
Type: WIFI",,,,,-1,0,-1,,,-102.3140259,31.87282944
-102.3286896,31.87649345,0,HotspotDE5E,"Network ID: 02:54:AF:F0:DE:5E
Encryption: WPA2
Time: 2024-11-16T20:22:25.000-08:00
Signal: -82.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3286896,31.87649345
-102.3282852,31.8767395,0,HotspotB639,"Network ID: 02:54:AF:F5:B6:39
Encryption: WPA2
Time: 2024-11-16T20:21:04.000-08:00
Signal: -82.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3282852,31.8767395
-102.3163681,31.88015938,0,DIRECT-F9-HP OfficeJet Pro 8020,"Network ID: 02:68:EB:49:E7:F9
Encryption: WPA2
Time: 2024-11-16T21:19:20.000-08:00
Signal: -91.0
Accuracy: 2.3
Type: WIFI",,,,,-1,0,-1,,,-102.3163681,31.88015938
-102.3270416,31.87512398,0,DIRECT-LE-BRAVIA,"Network ID: 02:71:CC:0C:B9:AA
Encryption: WPA2
Time: 2024-11-16T20:42:08.000-08:00
Signal: -94.0
Accuracy: 2.0
Type: WIFI",,,,,-1,0,-1,,,-102.3270416,31.87512398
-102.3224411,31.87842751,0,myChevrolet1091,"Network ID: 02:92:A5:27:75:67
Encryption: WPA3
Time: 2024-11-16T20:59:08.000-08:00
Signal: -86.0
Accuracy: 3.1
Type: WIFI",,,,,-1,0,-1,,,-102.3224411,31.87842751
